Date,Open,High,Low,Close,Volume
2019-04-15,171.88,174.01,168.7,170.83,3713452
2019-04-16,174.23,175.3,172.8,173.87,6679666
2019-04-17,178.33,180.73,176.84,179.23,5320044
2019-04-18,178.49,181.56,177.85,180.92,5623974
2019-04-19,169.75,171.1,168.88,170.23,5798142
2019-04-22,176.39,178.41,173.61,175.63,2388945
2019-04-23,179.82,181.44,178.56,180.18,1617883
2019-04-24,179.63,180.58,177.89,178.83,6096239
2019-04-25,179.7,181.31,177.94,179.55,1152660
2019-04-26,174.71,175.94,172.18,173.42,6036210
2019-04-29,173.22,174.78,171.95,173.51,1909537
2019-04-30,172.64,174.51,170.3,172.17,2837774
2019-05-01,172.92,173.84,171.5,172.41,5954309
2019-05-02,181.2,182.25,178.65,179.7,5360122
2019-05-03,170.47,173.75,168.89,172.17,6470756
2019-05-06,172.26,174.7,170.27,172.71,5276643
2019-05-07,173.69,175.8,170.72,172.84,1334944
2019-05-08,176.48,177.65,173.77,174.93,6878513
2019-05-09,177.14,179.11,174.93,176.9,2510211
2019-05-10,172.27,173.67,171.16,172.56,1952506
2019-05-13,174.47,176.89,171.3,173.72,7149772
2019-05-14,176.4,177.33,174.6,175.53,2363869
2019-05-15,176.51,179.03,174.34,176.87,4752506
2019-05-16,175.62,176.79,174.12,175.29,4401786
2019-05-17,177.02,179.52,173.33,175.84,6386566
2019-05-20,169.77,171.56,166.08,167.88,1309016
2019-05-21,173.15,174.14,171.42,172.41,1746839
2019-05-22,178.04,179.28,176.76,178.0,3909159
2019-05-23,177.12,179.06,175.23,177.17,4312835
2019-05-24,168.31,170.34,165.73,167.76,6517533
2019-05-27,169.03,170.61,167.56,169.15,5240123
2019-05-28,175.55,177.07,173.84,175.36,2041000
2019-05-29,173.93,176.87,172.05,174.99,7852170
2019-05-30,174.33,175.9,171.47,173.03,4219641
2019-05-31,168.17,170.17,167.32,169.31,7752137
2019-06-03,166.76,168.29,165.67,167.19,7928384
2019-06-04,171.23,172.84,169.51,171.13,1361716
2019-06-05,173.95,176.05,169.85,171.96,4541440
2019-06-06,170.77,173.5,168.46,171.19,3954243
2019-06-07,167.26,169.82,165.37,167.93,4488266
2019-06-10,164.43,166.63,162.79,164.98,3169580
2019-06-11,171.54,173.42,168.01,169.88,4911555
2019-06-12,175.18,179.16,174.02,178.0,4445373
2019-06-13,164.19,166.61,162.76,165.19,2302030
2019-06-14,170.73,171.82,166.91,168.0,3019580
2019-06-17,164.7,165.57,163.23,164.11,2030147
2019-06-18,168.02,170.79,166.35,169.12,6905204
2019-06-19,169.88,171.51,168.28,169.92,5741482
2019-06-20,170.75,172.6,168.84,170.69,3712723
2019-06-21,170.02,171.79,167.4,169.17,3770367
2019-06-24,167.76,169.38,164.3,165.92,1553694
2019-06-25,170.84,172.61,168.67,170.45,3029346
2019-06-26,163.81,165.83,162.33,164.35,7470956
2019-06-27,173.41,175.12,170.92,172.62,1219741
2019-06-28,165.58,167.42,164.44,166.28,2022860
2019-07-01,165.54,168.25,163.85,166.57,6922353
2019-07-02,160.95,164.55,159.12,162.71,4642296
2019-07-03,163.64,166.37,162.47,165.2,1226302
2019-07-04,165.86,168.29,164.34,166.76,4428367
2019-07-05,162.02,164.38,160.83,163.2,6249881
2019-07-08,162.58,163.82,161.03,162.27,3415504
2019-07-09,164.72,166.86,163.78,165.92,3673919
2019-07-10,157.8,163.07,155.66,160.94,5419225
2019-07-11,165.93,169.01,163.9,166.97,5190814
2019-07-12,161.76,164.0,159.99,162.23,7320391
2019-07-15,161.06,164.15,158.57,161.67,2733746
2019-07-16,162.2,163.6,159.27,160.68,2932490
2019-07-17,166.65,170.28,163.64,167.27,2087797
2019-07-18,158.93,160.31,156.66,158.05,5654441
2019-07-19,162.71,164.35,161.08,162.72,4733716
2019-07-22,155.9,157.24,154.6,155.94,3428659
2019-07-23,160.84,163.36,159.15,161.67,5869323
2019-07-24,162.98,164.96,161.06,163.04,3636808
2019-07-25,164.32,166.52,162.87,165.08,2368453
2019-07-26,159.2,161.59,156.65,159.03,4778926
2019-07-29,156.44,158.3,154.82,156.68,4054512
2019-07-30,158.17,160.75,156.54,159.12,3837773
2019-07-31,166.2,167.25,164.17,165.21,4112584
2019-08-01,162.05,163.76,159.91,161.62,7399412
2019-08-02,155.61,157.5,154.18,156.06,2511854
2019-08-05,155.44,156.64,154.1,155.3,2930688
2019-08-06,154.59,155.78,153.47,154.67,4955346
2019-08-07,160.78,164.48,157.94,161.65,1326926
2019-08-08,155.6,156.97,154.16,155.53,2021549
2019-08-09,157.94,159.33,157.17,158.56,4964360
2019-08-12,154.5,156.6,153.35,155.45,4568244
2019-08-13,161.16,164.26,159.68,162.78,5569741
2019-08-14,155.48,157.61,153.71,155.84,1794020
2019-08-15,158.6,160.37,156.25,158.03,6977133
2019-08-16,158.73,161.26,156.89,159.43,4398796
2019-08-19,159.65,160.82,155.95,157.13,2085184
2019-08-20,155.01,156.68,152.46,154.13,3181193
2019-08-21,160.14,161.21,157.78,158.84,2592197
2019-08-22,158.14,159.33,156.15,157.34,4165724
2019-08-23,156.8,157.84,153.91,154.95,4285674
2019-08-26,150.61,152.3,149.7,151.4,4036245
2019-08-27,152.19,156.78,150.16,154.75,4227053
2019-08-28,152.78,155.07,150.93,153.22,7355531
2019-08-29,156.87,158.86,154.32,156.31,7714027
2019-08-30,153.77,155.29,152.1,153.62,4429549
2019-09-02,150.66,152.55,148.49,150.38,7741163
2019-09-03,150.39,151.01,148.45,149.07,6729492
2019-09-04,158.65,160.58,156.34,158.27,6739716
2019-09-05,156.51,158.1,154.12,155.71,2579566
2019-09-06,149.0,151.76,147.19,149.94,4068983
2019-09-09,149.02,151.81,147.33,150.12,3464579
2019-09-10,151.28,152.29,148.66,149.67,1675158
2019-09-11,153.15,153.9,152.3,153.05,1525625
2019-09-12,152.46,154.22,151.31,153.08,5357033
2019-09-13,154.31,156.71,152.53,154.93,3945234
2019-09-16,148.75,151.24,146.9,,6780054
2019-09-17,154.59,156.12,153.78,155.3,5680899
2019-09-18,153.28,155.57,152.27,154.56,1596212
2019-09-19,153.55,156.19,152.41,155.05,6867169
2019-09-20,150.41,151.93,149.09,150.61,4472673
2019-09-23,152.16,153.57,151.34,152.75,4961404
2019-09-24,153.14,153.93,151.25,152.03,7759802
2019-09-25,151.82,152.91,150.44,151.53,5480508
2019-09-26,151.14,152.68,149.33,150.87,1156002
2019-09-27,149.86,151.51,148.95,150.61,2240869
2019-09-30,147.29,148.86,145.85,147.41,3984436
2019-10-01,153.76,155.79,151.37,153.4,1260442
2019-10-02,154.35,155.2,152.78,153.63,2172308
2019-10-03,159.52,161.01,158.12,159.61,6541817
2019-10-04,147.49,149.51,144.4,146.42,1999524
2019-10-07,150.25,151.55,148.96,150.25,2169267
2019-10-08,150.03,151.25,148.03,149.24,4532773
2019-10-09,153.07,155.64,150.99,153.56,1638186
2019-10-10,152.42,155.58,151.07,154.23,2789789
2019-10-11,145.68,147.73,143.36,145.41,7562936
2019-10-14,150.83,152.55,148.39,150.11,5420313
2019-10-15,157.05,158.38,155.15,156.48,7744649
2019-10-16,152.92,154.66,150.75,152.49,3479750
2019-10-17,152.54,154.55,150.88,152.89,5313801
2019-10-18,150.8,153.62,148.79,151.61,2669917
2019-10-21,148.14,149.37,146.37,147.59,3650460
2019-10-22,149.56,151.08,147.61,149.13,2222590
2019-10-23,146.08,148.11,144.62,146.65,6832676
2019-10-24,154.15,156.01,151.19,153.04,2288326
2019-10-25,147.25,149.12,146.26,148.13,2433039
2019-10-28,144.28,146.87,142.27,144.86,4246656
2019-10-29,151.98,153.72,148.61,150.35,4005746
2019-10-30,151.91,152.75,150.2,151.04,3196868
2019-10-31,150.44,152.9,148.33,150.8,3499121
2019-11-01,151.03,153.65,148.13,150.75,3065177
2019-11-04,144.9,146.9,142.75,144.75,7388899
2019-11-05,150.17,155.13,147.95,152.91,5062614
2019-11-06,148.27,150.72,146.73,149.18,7438441
2019-11-07,150.17,150.89,149.5,150.22,7907691
2019-11-08,153.11,154.04,152.53,153.46,5556201
2019-11-11,150.9,152.53,149.03,150.65,6779650
2019-11-12,151.59,152.8,149.26,150.47,1775180
2019-11-13,150.8,152.16,149.75,151.12,7645915
2019-11-14,150.95,153.47,149.48,152.0,4375349
2019-11-15,150.72,152.53,148.59,150.4,5994043
2019-11-18,149.04,150.14,148.26,149.36,2717298
2019-11-19,150.66,152.09,149.38,150.81,1668508
2019-11-20,152.77,155.32,150.52,153.06,7194409
2019-11-21,154.13,155.1,150.93,151.89,4146139
2019-11-22,144.26,148.43,142.32,146.5,1968819
2019-11-25,147.33,148.97,146.07,147.72,5609335
2019-11-26,153.38,155.15,151.6,153.38,1380171
2019-11-27,148.42,151.25,146.38,149.2,4153312
2019-11-28,152.18,154.05,149.4,151.28,5931003
2019-11-29,147.35,149.31,144.58,146.54,6042945
2019-12-02,147.81,148.78,146.89,147.86,4173002
2019-12-03,148.36,150.68,146.3,148.63,3589747
2019-12-04,155.49,156.68,154.42,155.6,6868554
2019-12-05,151.61,153.34,149.98,151.72,2293156
2019-12-06,143.79,145.5,142.16,143.87,1522407
2019-12-09,148.64,150.57,146.89,148.83,2097899
2019-12-10,147.34,149.01,145.42,147.08,6607532
2019-12-11,150.28,151.36,148.45,149.53,4289321
2019-12-12,150.42,152.47,149.59,151.65,1261343
2019-12-13,146.93,149.92,145.0,147.98,2181431
2019-12-16,148.47,151.81,146.87,150.22,1196490
2019-12-17,149.14,151.22,146.2,148.27,6700995
2019-12-18,151.41,152.89,149.68,151.16,4229210
2019-12-19,151.43,152.23,150.13,150.93,1476434
2019-12-20,146.62,150.03,144.64,148.05,2549039
2019-12-23,153.12,154.44,150.02,151.34,5315185
2019-12-24,152.21,154.49,150.54,152.82,5156030
2019-12-25,158.23,159.41,156.88,158.06,6735010
2019-12-26,159.39,161.71,156.21,158.53,1180718
2019-12-27,146.52,148.57,145.46,147.51,1485798
2019-12-30,148.42,150.3,147.09,148.96,1247726
2019-12-31,148.31,149.87,146.58,148.13,3758458
2020-01-01,154.26,155.22,150.45,151.41,6090039
2020-01-02,151.38,153.05,149.42,151.08,5641030
2020-01-03,148.69,150.99,144.77,147.08,2471156
2020-01-06,147.7,148.95,145.24,146.49,5600672
2020-01-07,151.88,153.58,149.82,151.52,5594919
2020-01-08,150.28,151.39,150.15,151.27,2339719
2020-01-09,156.83,158.31,154.29,155.77,6249455
2020-01-10,147.16,150.0,145.82,148.66,3956039
2020-01-13,158.8,159.89,156.11,157.2,1415318
2020-01-14,151.35,153.39,149.11,151.15,3734065
2020-01-15,152.3,156.29,150.97,154.95,6388277
2020-01-16,150.38,152.13,148.97,150.72,5873482
2020-01-17,156.93,158.24,154.96,156.28,2878948
2020-01-20,154.38,155.16,153.84,154.62,6298314
2020-01-21,155.79,156.72,154.14,155.08,3726821
2020-01-22,152.2,155.03,150.22,153.05,4221685
2020-01-23,154.44,156.19,153.99,155.74,1606474
2020-01-24,150.05,151.24,148.93,150.12,7979466
2020-01-27,155.92,157.22,154.59,155.89,6870409
2020-01-28,156.46,159.18,154.09,156.81,2364499
2020-01-29,157.96,159.84,154.85,156.73,4925101
2020-01-30,149.11,151.18,147.89,149.96,6462505
2020-01-31,151.33,153.48,148.87,151.02,4532656
2020-02-03,154.05,155.18,152.85,153.98,2475599
2020-02-04,155.92,159.48,153.92,157.48,7779883
2020-02-05,158.35,160.49,157.53,159.67,2881656
2020-02-06,152.15,154.19,150.1,152.14,3341540
2020-02-07,155.99,157.29,152.72,154.01,3601373
2020-02-10,155.53,156.52,153.97,154.96,7235455
2020-02-11,148.8,151.92,147.41,150.53,4500091
2020-02-12,153.94,158.69,152.31,157.05,6037815
2020-02-13,158.23,159.49,156.25,157.5,7308480
2020-02-14,152.24,154.12,150.47,152.34,7499696
2020-02-17,148.7,149.91,146.35,147.56,6995019
2020-02-18,152.9,155.59,151.09,153.78,7354614
2020-02-19,156.57,158.29,154.5,156.22,7637578
2020-02-20,156.56,158.02,154.24,155.71,7937208
2020-02-21,150.79,152.52,149.51,151.24,5501653
2020-02-24,150.41,152.41,148.83,150.84,1921737
2020-02-25,154.84,156.62,153.04,154.82,1793196
2020-02-26,158.32,160.85,155.24,157.77,6572114
2020-02-27,155.38,157.37,153.41,155.4,3212997
2020-02-28,153.2,155.19,150.24,152.22,6631460
2020-03-02,152.16,155.66,149.11,152.62,7543150
2020-03-03,148.17,151.26,146.42,149.5,5510614
2020-03-04,159.66,161.4,155.94,157.68,6350098
2020-03-05,155.52,157.98,153.67,156.13,2952026
2020-03-06,153.08,154.65,152.09,153.65,4041767
2020-03-09,155.68,157.03,154.41,155.75,7756037
2020-03-10,151.28,152.52,149.96,151.21,6717969
2020-03-11,153.23,155.44,151.41,153.62,2430954
2020-03-12,159.01,160.44,157.6,159.03,7554252
2020-03-13,155.64,157.25,154.07,155.68,4497027
2020-03-16,155.74,157.79,153.53,155.57,6907074
2020-03-17,153.81,158.1,151.88,156.16,4650409
2020-03-18,163.17,164.59,159.87,161.29,5227256
2020-03-19,160.68,161.99,159.51,160.83,2132805
2020-03-20,157.83,159.9,155.18,157.25,3370650
2020-03-23,152.69,155.95,150.8,154.07,6057701
2020-03-24,151.55,152.71,150.85,152.02,6896750
2020-03-25,160.74,162.75,159.39,161.41,1622070
2020-03-26,163.56,165.14,160.51,162.09,1538051
2020-03-27,157.51,159.98,155.62,158.09,5851684
2020-03-30,154.83,156.79,152.12,154.07,4129666
2020-03-31,159.84,162.13,158.2,160.49,6940308
2020-04-01,162.17,164.42,160.38,162.63,1477542
2020-04-02,163.2,164.98,161.67,163.45,3445774
2020-04-03,155.35,156.52,152.91,154.07,1248083
2020-04-06,152.71,155.97,151.34,154.6,5965945
2020-04-07,158.53,161.36,157.02,159.85,7004969
2020-04-08,158.66,162.09,157.18,160.61,2097418
2020-04-09,155.41,157.05,154.85,156.5,3267794
2020-04-10,156.27,158.39,154.97,157.08,6921643
2020-04-13,154.98,158.12,153.45,156.59,1290014
2020-04-14,156.41,158.51,155.05,157.15,7664221
2020-04-15,157.45,160.84,156.07,159.46,7208928
2020-04-16,156.44,159.2,154.7,157.46,2068855
2020-04-17,160.57,161.53,158.4,159.36,1972511
2020-04-20,153.12,153.81,152.04,152.72,5843016
2020-04-21,155.06,156.39,153.55,154.87,1070677
2020-04-22,157.71,160.59,155.83,158.71,4540817
2020-04-23,158.44,162.32,156.1,159.98,1461426
2020-04-24,150.17,153.2,148.28,151.31,4720495
2020-04-27,151.41,152.22,150.64,151.45,3451392
2020-04-28,151.95,153.33,149.7,151.08,5945428
2020-04-29,159.16,160.79,156.63,158.26,7164954
2020-04-30,155.29,156.88,153.07,154.66,4421183
2020-05-01,152.28,154.79,150.51,153.02,5492383
2020-05-04,155.27,156.31,154.21,155.25,5202284
2020-05-05,154.02,155.88,152.49,154.34,7894484
2020-05-06,158.86,160.77,157.15,159.06,2616307
2020-05-07,158.61,160.53,154.66,156.58,2672549
2020-05-08,154.66,157.51,153.56,156.42,3649546
2020-05-11,155.15,156.71,153.82,155.38,6156849
2020-05-12,155.98,156.12,154.62,154.76,7056682
2020-05-13,156.91,159.56,155.72,158.37,2946529
2020-05-14,159.92,161.8,158.68,160.56,1769317
2020-05-15,155.19,156.71,154.2,155.72,5260551
2020-05-18,150.02,151.83,148.44,150.24,5183026
2020-05-19,155.93,159.0,154.46,157.53,3623392
2020-05-20,156.13,156.5,155.16,155.53,2290009
2020-05-21,161.87,163.48,159.6,161.21,6949107
2020-05-22,157.45,158.49,155.91,156.95,6925777
2020-05-25,153.25,155.86,151.51,154.12,6232709
2020-05-26,156.64,157.5,155.7,156.56,5053307
2020-05-27,156.67,159.09,155.16,157.57,2829984
2020-05-28,158.21,159.9,156.85,158.54,3821341
2020-05-29,155.26,156.91,151.46,153.11,1479017
2020-06-01,154.1,155.66,152.44,154.0,2748772
2020-06-02,156.62,159.18,155.25,157.81,4153063
2020-06-03,157.12,157.86,156.21,156.94,4057912
2020-06-04,154.84,156.95,154.08,156.19,1562633
2020-06-05,150.98,153.39,149.77,152.18,7703286
2020-06-08,150.74,153.27,149.24,151.78,2877672
2020-06-09,152.52,154.16,151.32,152.97,4564465
2020-06-10,162.45,164.26,159.7,161.51,4256786
2020-06-11,163.11,164.47,161.17,162.53,4286426
2020-06-12,159.82,160.84,158.28,159.29,6915216
2020-06-15,149.47,151.93,148.11,150.57,6223916
2020-06-16,158.18,160.33,156.57,158.72,7073446
2020-06-17,163.46,165.12,161.53,163.19,3653329
2020-06-18,156.35,159.41,153.91,156.98,2856076
2020-06-19,154.76,156.2,153.59,155.04,3991967
2020-06-22,148.69,150.16,146.79,148.25,4930435
2020-06-23,155.54,157.6,153.82,155.89,3358634
2020-06-24,155.2,156.69,153.48,154.97,4220405
2020-06-25,159.02,160.27,156.17,157.42,2056438
2020-06-26,150.1,151.0,149.38,150.28,5086905
2020-06-29,155.29,156.53,152.86,154.11,5996664
2020-06-30,157.27,158.23,155.74,156.71,4690097
2020-07-01,153.0,155.11,152.37,154.47,7111216
2020-07-02,151.42,153.62,150.32,152.52,7969744
2020-07-03,146.48,148.29,145.5,147.31,7339148
2020-07-06,150.56,153.21,148.77,151.42,1650846
2020-07-07,152.87,154.76,151.07,152.96,7165620
2020-07-08,153.72,154.77,152.06,153.1,3335933
2020-07-09,158.59,159.96,155.96,157.33,4162486
2020-07-10,152.76,153.34,151.89,152.46,3883850
2020-07-13,149.32,151.02,148.07,149.77,2988463
2020-07-14,151.22,155.0,149.52,153.3,7140608
2020-07-15,159.81,161.72,157.83,159.74,5465466
2020-07-16,158.05,159.2,156.88,158.03,7768770
2020-07-17,153.44,155.46,151.23,153.25,7682934
2020-07-20,156.59,157.33,153.74,154.48,3938328
2020-07-21,153.49,154.37,151.38,152.25,6089354
2020-07-22,158.3,160.15,155.66,157.51,4516550
2020-07-23,156.33,159.62,153.99,157.29,4463939
2020-07-24,151.71,153.97,149.97,152.23,6177475
2020-07-27,153.09,154.67,151.61,153.19,5821660
2020-07-28,151.16,152.34,150.76,151.93,7382223
2020-07-29,157.13,157.62,156.14,156.63,6407765
2020-07-30,156.04,157.6,154.12,155.68,5354990
2020-07-31,143.46,145.87,142.14,144.55,7434884
2020-08-03,155.11,156.06,152.97,153.92,1716690
2020-08-04,145.87,147.4,144.23,145.76,6342510
2020-08-05,152.9,156.18,151.34,154.62,3745981
2020-08-06,158.4,160.42,156.43,158.45,4032333
2020-08-07,152.63,154.2,150.78,152.35,6471723
2020-08-10,150.19,152.31,147.1,149.22,2915245
2020-08-11,152.24,154.08,150.74,152.58,7185421
2020-08-12,160.8,162.24,158.53,159.97,4499171
2020-08-13,151.81,153.84,149.59,151.63,3443007
2020-08-14,154.69,157.01,153.68,156.0,3297245
2020-08-17,150.56,154.88,147.65,151.97,3946453
2020-08-18,152.54,154.23,149.73,151.42,7599352
2020-08-19,156.87,158.56,153.98,155.67,1718505
2020-08-20,154.83,156.6,152.75,154.51,4555760
2020-08-21,157.53,159.97,153.6,156.04,6845031
2020-08-24,156.2,158.09,153.24,155.14,4304394
2020-08-25,151.76,152.45,150.37,151.07,4962124
2020-08-26,156.08,159.2,153.88,156.99,3437373
2020-08-27,156.84,158.17,153.77,155.1,1953489
2020-08-28,157.71,159.26,155.62,157.17,5475848
2020-08-31,149.85,151.09,148.99,150.23,7439685
2020-09-01,159.2,161.63,157.44,159.87,4640358
2020-09-02,158.32,159.49,156.89,158.06,4024262
2020-09-03,152.5,155.72,150.95,154.17,1903342
2020-09-04,153.23,154.59,151.17,152.53,7613104
2020-09-07,150.78,154.19,148.31,151.73,7084454
2020-09-08,153.35,155.84,150.49,152.98,7313663
2020-09-09,158.52,160.57,157.0,159.04,3513089
2020-09-10,154.97,156.77,153.44,155.24,5377093
2020-09-11,150.01,152.08,148.7,150.77,4028049
2020-09-14,154.36,156.57,152.3,154.52,2642559
2020-09-15,154.83,156.17,151.6,152.94,2439669
2020-09-16,159.89,161.18,157.22,158.51,3686967
2020-09-17,157.74,159.73,155.39,157.38,4873787
2020-09-18,155.32,156.57,154.09,155.34,1854015
2020-09-21,162.91,164.39,160.59,162.07,5914385
2020-09-22,160.85,161.56,159.01,159.72,4204353
2020-09-23,162.06,164.74,160.21,162.89,7168157
2020-09-24,157.9,160.45,155.43,157.98,2951552
2020-09-25,157.22,160.9,155.36,159.04,1361253
2020-09-28,161.79,164.02,158.43,160.67,3184387
2020-09-29,162.28,163.35,159.14,160.21,7813323
2020-09-30,168.12,169.74,166.42,168.04,3253982
2020-10-01,159.76,162.92,158.73,161.89,5926724
2020-10-02,162.41,163.79,160.41,161.8,6903045
2020-10-05,159.59,162.38,157.7,160.49,2990090
2020-10-06,164.43,166.65,162.88,165.09,5498175
2020-10-07,166.01,166.8,164.59,165.38,2431323
2020-10-08,165.43,166.27,164.33,165.18,3535445
2020-10-09,161.52,162.81,160.71,162.0,3072615
2020-10-12,159.16,161.56,157.42,159.81,5706716
2020-10-13,165.45,167.98,162.79,165.32,7130080
2020-10-14,166.82,169.41,164.64,167.23,2766680
2020-10-15,165.51,167.17,164.96,166.62,3039731
2020-10-16,163.39,165.93,161.18,163.72,6746602
2020-10-19,166.26,168.23,163.95,165.92,4239747
2020-10-20,165.94,166.85,165.21,166.12,4591442
2020-10-21,167.03,169.79,165.68,168.44,5940166
2020-10-22,169.86,171.9,166.82,168.87,1963098
2020-10-23,167.73,172.25,165.96,170.47,7103929
2020-10-26,162.17,163.47,161.33,162.62,3556567
2020-10-27,169.81,172.24,168.01,170.43,5609998
2020-10-28,166.99,167.42,166.41,166.84,4025272
2020-10-29,171.77,173.16,169.82,171.21,6271764
2020-10-30,173.3,175.37,170.11,172.18,5281082
2020-11-02,169.24,171.47,167.74,169.96,2213287
2020-11-03,172.51,173.76,170.67,171.92,2314910
2020-11-04,173.51,175.46,171.37,173.32,7141854
2020-11-05,172.65,176.34,170.66,174.36,4637232
2020-11-06,173.35,175.5,169.29,171.45,2930034
2020-11-09,168.19,171.56,166.25,169.62,2002806
2020-11-10,173.91,175.95,171.45,173.49,1898647
2020-11-11,177.5,179.36,175.24,177.11,7439323
2020-11-12,174.67,176.3,172.76,174.39,7833710
2020-11-13,171.07,173.11,169.53,171.57,3754498
2020-11-16,170.8,172.18,168.59,169.97,2411479
2020-11-17,175.89,178.34,174.99,177.45,3932159
2020-11-18,180.6,181.69,179.58,180.67,1956563
2020-11-19,178.76,180.68,177.4,179.32,4847596
2020-11-20,178.24,180.54,176.62,178.92,5382146
2020-11-23,176.58,178.8,173.93,176.15,7897017
2020-11-24,181.04,182.52,178.48,179.96,3232042
2020-11-25,181.41,183.75,179.4,181.75,2384689
2020-11-26,180.96,183.0,178.14,180.18,1933444
2020-11-27,175.98,177.36,174.54,175.93,3640192
2020-11-30,180.88,183.57,179.08,181.77,5207847
2020-12-01,178.06,179.69,176.68,178.32,1466415
2020-12-02,180.51,182.97,178.35,180.81,6312896
2020-12-03,182.14,184.65,180.32,182.83,4220752
2020-12-04,179.83,180.74,178.5,179.4,6552388
2020-12-07,173.92,175.51,172.11,173.69,4245247
2020-12-08,180.91,184.82,178.58,182.5,2088588
2020-12-09,181.4,184.46,179.99,183.05,1150236
2020-12-10,180.63,182.36,178.49,180.21,4898069
2020-12-11,182.52,185.11,180.74,183.33,4776074
2020-12-14,181.93,182.91,180.65,181.63,6695748
2020-12-15,179.78,181.54,177.25,179.0,7140780
2020-12-16,187.91,189.98,187.1,189.18,2127609
2020-12-17,184.53,187.13,183.34,185.94,3202809
2020-12-18,183.49,185.52,179.77,181.81,2453775
2020-12-21,185.98,187.66,183.95,185.63,1746998
2020-12-22,184.43,186.2,183.09,184.85,1016879
2020-12-23,186.37,189.03,184.65,187.3,1576182
